"Macrorregião de Saúde";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"4308 VALES";527;12229;12158;11877;11410;11027;12335;11364;11029;10529;10362;9765;9333;4812;5852;9436;8966;8778;8641;180430
"4309 SUL";319;9870;10376;9922;9397;9040;9089;8256;8624;8046;7234;7119;7090;3658;3274;6491;6739;7207;6366;138117
"4310 SERRA";408;7660;8325;8325;8460;8045;8111;7714;7627;7428;7311;7186;6930;4450;5066;7481;7193;8089;8050;133859
"4311 NORTE";797;17767;18666;17167;15913;14352;16077;15495;15016;16020;15389;15512;14689;7834;8926;15599;15085;16122;15627;272053
"4312 MISSIONEIRA";592;14099;14952;14004;13271;12191;12901;11850;11385;12018;10992;11381;10813;5186;5772;9802;9256;10470;9491;200426
"4313 METROPOLITANA";2338;39985;43778;43353;40564;40726;40604;39283;38714;39396;36194;34262;34640;18945;23656;35928;35020;36287;33034;656707
"4314 CENTRO-OESTE";434;11123;11665;11384;10964;10327;11048;9757;9531;10385;9244;8175;8727;4755;5179;8953;9553;10446;9553;171203
"Total";5415;112733;119920;116032;109979;105708;110165;103719;101926;103822;96726;93400;92222;49640;57725;93690;91812;97399;90762;1752795
